music,streams,average,std_dev
Say Yes To Heaven,"[80450, 63761, 62122, 51737, 46082, 43786, 39947, 39216, 35813, 34448]",49736.2,14072.275678084196
2023 04 12 Ócsa,"[79328, 55194, 43334, 35348]",53301.0,16603.007829908413
ANGYAL,[54108],54108.0,0.0
Növök Fel,[42461],42461.0,0.0
Semmi Sem Véletlen,[38027],38027.0,0.0
Teszt,[34761],34761.0,0.0
FANTOMREZGÉS,"[63068, 91110, 73221, 62765, 46060, 38399, 34936, 39210]",56096.125,18571.20710560773
Részegen egy rolleren,"[52831, 50843, 54639, 51500, 43757, 44293, 43795, 42605, 39312, 37586]",46116.1,5610.01271745439
My City,"[44913, 37773]",41343.0,3570.0
Ella Baila Sola,"[37226, 36036, 44710, 41430, 34694]",38819.2,3709.974792367194
Hits Different,[34665],34665.0,0.0
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","[61294, 58850, 47926, 38472]",51635.5,9115.560254312402
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","[55190, 57118, 49140, 41337]",50696.25,6153.25395116275
"VIGYÁZZ, KÉSZ, RAJT","[54926, 43107, 38231]",45421.333333333336,7009.415588256192
S-Class,[52052],52052.0,0.0
NEHÉZ DAL,"[49640, 37202]",43421.0,6219.0
DR. DOKTOR,"[46888, 34808]",40848.0,6040.0
NAGYKABÁT (ne játszd az agyad),"[45340, 34328]",39834.0,5506.0
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","[44596, 44277, 37439]",42104.0,3301.2229047228343
TOPLINE (Feat. Tiger JK),[42464],42464.0,0.0
INKOGNITÓ,[41617],41617.0,0.0
AmEN! (feat. Lil Uzi Vert and Daryl Palumbo of Glassjaw),[37044],37044.0,0.0
POKOL,[36663],36663.0,0.0
SZÓLJATOK RÁM,[35630],35630.0,0.0
NEM A TE DOLGOD,[35412],35412.0,0.0
Disco Club,"[48450, 40947, 36909]",42102.0,4781.853824616558
Take Two,[35514],35514.0,0.0
NITRO,"[101938, 83747, 64328, 57653, 46735, 42531, 38353, 38053, 38322]",56851.11111111111,21496.8773517584
BORZASZTÓ,"[55923, 33475]",44699.0,11224.0
KORONA,[53309],53309.0,0.0
Ez jön,"[53244, 43281]",48262.5,4981.5
1FORMÁK,[46731],46731.0,0.0
TWISTER,[43414],43414.0,0.0
BIG KK,[42011],42011.0,0.0
Régi szél,[41661],41661.0,0.0
TOMBOL,[40929],40929.0,0.0
MONTAGEM - PR FUNK,"[36476, 35193, 34705, 42446, 38955, 41950, 39049, 38070, 36129]",38108.11111111111,2621.302494072765
Isztambul,"[44843, 33484, 34469]",37598.666666666664,5138.276645811209
Flooded The Face,[36424],36424.0,0.0
Gasolina,[33543],33543.0,0.0
I Can See You (Taylor’s Version) (From The Vault),[48796],48796.0,0.0
Sonne,"[43371, 44279]",43825.0,454.0
Du hast,"[43108, 40409]",41758.5,1349.5
Rush,"[65451, 57001, 46183, 41176, 42982, 42710, 38697, 37498, 37216, 35590]",44450.4,9108.964037693859
K-POP,"[76794, 94469, 60147, 45228, 36538, 34914]",58015.0,21773.514032726398
Valamiben,"[75370, 63005, 60256, 47831, 41563, 43462, 35215]",52386.0,13176.443743069893
Barbie World (with Aqua) [From Barbie The Album],"[70220, 91000, 93632, 88255, 77374, 70410, 60813, 54835, 46656, 39520]",69271.5,17805.484077946323
I'm Just Ken (From Barbie The Album),"[46103, 65907, 75393, 62685, 49029, 43088]",57034.166666666664,11731.542331348519
Moonwalk,[42061],42061.0,0.0
Choose Your Fighter (From Barbie The Album),"[40413, 37309, 37341]",38354.333333333336,1455.7557792737382
Speed Drive (From Barbie The Album),"[36564, 53370, 53928, 49470, 43179, 37833, 35951]",44327.857142857145,7312.581905349777
MELTDOWN (feat. Drake),"[122446, 78874, 59280, 48227, 42033, 42622, 38485]",61709.57142857143,27933.84398312322
HYAENA,"[109615, 44612]",77113.5,32501.5
TOPIA TWINS (feat. Rob49 & 21 Savage),"[94413, 45139]",69776.0,24637.0
MODERN JAM (feat. Teezo Touchdown),[82383],82383.0,0.0
SIRENS,[74702],74702.0,0.0
GOD'S COUNTRY,[74692],74692.0,0.0
DELRESTO (ECHOES) (feat. Beyoncé),[70486],70486.0,0.0
CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee),[67411],67411.0,0.0
SKITZO (feat. Young Thug),[65264],65264.0,0.0
